Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
80Zn,,30,0+,B-,100.00,0,7.29,unstable,EQUAL,0.54,0.02,0.02,S,,,-51.648,0.002,,5.40E-01
80Zn,,30,0+,BN,1.00,0,2.593,unstable,EQUAL,0.54,0.02,0.02,S,,,-51.648,0.002,,5.40E-01
81Zn,,30,(5/2+),B-,100.00,0,11.856,unstable,EQUAL,304,13,13,MS,,,-46.199,0.005,,3.04E-01
81Zn,,30,(5/2+),BN,7.50,0,4.936,unstable,EQUAL,304,13,13,MS,,,-46.199,0.005,,3.04E-01
82Zn,,30,0+,B-,,0,10.647,unstable,GT,150,,,NS,,,-42.607,0.401,S,1.50E-07
83Zn,,30,,B-,,0,13.087,unstable,GT,300,,,NS,,,-36.738,0.503,S,3.00E-07
83Zn,,30,,BN,,0,8.733,unstable,GT,300,,,NS,,,-36.738,0.503,S,3.00E-07
84Zn,,30,0+,B-,,0,0,unstable,GT,633,,,NS,,,0,0,,6.33E-07
84Zn,,30,0+,B2N,,0,0,unstable,GT,633,,,NS,,,0,0,,6.33E-07
84Zn,,30,0+,BN,,0,0,unstable,GT,633,,,NS,,,0,0,,6.33E-07
85Zn,,30,,B-,?,,0,unstable,GT,637,,,NS,,,0,0,,6.37E-07
85Zn,,30,,BN,?,,0,unstable,GT,637,,,NS,,,0,0,,6.37E-07
85Zn,,30,,B2N,?,,0,unstable,GT,637,,,NS,,,0,0,,6.37E-07
56Ga,,31,,P,?,0,2.892,unstable,EQUAL,,,,,,,-4.192,0.401,S,0.00E+00
57Ga,,31,,P,?,0,2.538,unstable,EQUAL,,,,,,,-15.593,0.298,S,0.00E+00
58Ga,,31,,P,?,0,1.525,unstable,EQUAL,,,,,,,-23.809,0.196,S,0.00E+00
59Ga,,31,,P,?,0,0.888,unstable,EQUAL,,,,,,,-33.972,0.168,S,0.00E+00
60Ga,,31,(2+),EC,98.40,0,14.189,unstable,EQUAL,70,13,13,MS,,,-39.784,0.196,S,7.00E-02
60Ga,,31,(2+),EP,1.60,0,9.07,unstable,EQUAL,70,13,13,MS,,,-39.784,0.196,S,7.00E-02
60Ga,,31,(2+),EA,<0.02,0,11.48,unstable,EQUAL,70,13,13,MS,,,-39.784,0.196,S,7.00E-02
61Ga,,31,3/2-,EC,100.00,0,9.255,unstable,EQUAL,167,3,3,MS,,,-47.088,0.052,,1.67E-01
61Ga,,31,3/2-,EP,<0.25,0,3.965,unstable,EQUAL,167,3,3,MS,,,-47.088,0.052,,1.67E-01
62Ga,,31,0+,EC,100.00,0,9.171,unstable,EQUAL,116.121,0.021,0.021,MS,,,-51.986,0,,1.16E-01
62Ga,,31,0+,EP,,0,2.694,unstable,EQUAL,116.121,0.021,0.021,MS,,,-51.986,0,,1.16E-01
63Ga,,31,3/2-,EC,100.00,0,5.666,unstable,EQUAL,32.4,0.5,0.5,S,,,-56.547,0.001,,3.24E+01
64Ga,,31,0+,EC,100.00,0,7.169,unstable,EQUAL,2.627,1.2e-15,1.2e-15,M,,,-58.833,0.001,,1.58E+02
65Ga,,31,3/2-,EC,100.00,0,3.254,unstable,EQUAL,15.2,0.2,0.2,M,,,-62.657,0,,9.12E+02
66Ga,,31,0+,EC,100.00,0,5.175,unstable,EQUAL,9.49,0.03,0.03,H,,,-63.724,0.003,,3.42E+04
67Ga,,31,3/2-,EC,100.00,0,1.001,unstable,EQUAL,3.2617,0.0005,0.0005,D,,,-66.878,0.001,,2.82E+05
68Ga,,31,1+,EC,100.00,0,2.921,unstable,EQUAL,67.71,9e-14,9e-14,M,,,-67.085,0.001,,4.06E+03
69Ga,,31,3/2-,,,0,0,stable,,,,,,60.108,9e-14,-69.327,0.001,,0.00E+00
70Ga,,31,1+,B-,99.59,0,1.653,unstable,EQUAL,21.14,0.03,0.03,M,,,-68.91,0.001,,1.27E+03
70Ga,,31,1+,EC,0.41,0,0.655,unstable,EQUAL,21.14,0.03,0.03,M,,,-68.91,0.001,,1.27E+03
71Ga,,31,3/2-,,,0,0,stable,,,,,,39.892,0.009,-70.139,0,,0.00E+00
72Ga,,31,3-,B-,100.00,0,3.997,unstable,EQUAL,14.10,0.2,0.2,H,,,-68.588,0,,5.08E+04
72Ga,M,31,(0+),IT,,0.1197,0.12,unstable,EQUAL,39.68,0.13,0.13,MS,,,-68.4683,0,,3.97E-02
73Ga,,31,3/2-,B-,100.00,0,1.598,unstable,EQUAL,4.86,0.03,0.03,H,,,-69.699,0.001,,1.75E+04
74Ga,,31,(3-),B-,100.00,0,5.373,unstable,EQUAL,8.12,1.2e-14,1.2e-14,M,,,-68.049,0.003,,4.87E+02
74Ga,M,31,(0),IT,75.00,0.06,0.06,unstable,EQUAL,9.5,1,1,S,,,-67.989,0.003,,9.50E+00
74Ga,M,31,(0),B-,<50.00,0.06,5.433,unstable,EQUAL,9.5,1,1,S,,,-67.989,0.003,,9.50E+00
75Ga,,31,3/2-,B-,100.00,0,3.392,unstable,EQUAL,126,2,2,S,,,-68.464,0.002,,1.26E+02
76Ga,,31,2+,B-,100.00,0,6.916,unstable,EQUAL,32.6,0.6,0.6,S,,,-66.296,0.001,,3.26E+01
77Ga,,31,3/2-,B-,100.00,0,5.222,unstable,EQUAL,13.2,0.2,0.2,S,,,-65.992,0.002,,1.32E+01
78Ga,,31,2+,B-,100.00,0,8.156,unstable,EQUAL,5.09,0.05,0.05,S,,,-63.705,0.001,,5.09E+00
78Ga,M,31,6,IT,100.00,0.5596,0.56,unstable,LT,500,,,NS,,,-63.1454,0.001,,5.00E-07
79Ga,,31,3/2-,B-,100.00,0,6.979,unstable,EQUAL,2.847,0.003,0.003,S,,,-62.547,0.001,,2.85E+00
79Ga,,31,3/2-,BN,0.09,0,1.281,unstable,EQUAL,2.847,0.003,0.003,S,,,-62.547,0.001,,2.85E+00
80Ga,,31,3,B-,100.00,0,10.38,unstable,EQUAL,1.676,1.4e-15,1.4e-15,S,,,-59.223,0.002,,1.68E+00
80Ga,,31,3,BN,0.86,0,2.282,unstable,EQUAL,1.676,1.4e-15,1.4e-15,S,,,-59.223,0.002,,1.68E+00
81Ga,,31,5/2-,B-,100.00,0,8.32,unstable,EQUAL,1.217,5e-16,5e-16,S,,,-57.627,0.003,,1.22E+00
81Ga,,31,5/2-,BN,11.90,0,3.461,unstable,EQUAL,1.217,5e-16,5e-16,S,,,-57.627,0.003,,1.22E+00
82Ga,,31,(1,2,3),B-,100.00,0,12.52,unstable,EQUAL,0.599,0.002,0.002,S,,,-52.93,0.002,,5.99E-01
82Ga,,31,(1,2,3),BN,19.80,0,5.128,unstable,EQUAL,0.599,0.002,0.002,S,,,-52.93,0.002,,5.99E-01
82Ga,m,31,,IT,,0,0,unstable,LT,500,,,NS,,,-52.93,0.002,,5.00E-07
83Ga,,31,,B-,100.00,0,11.513,unstable,EQUAL,308.1,1,1,MS,,,-49.257,0.002,,3.08E-01
83Ga,,31,,BN,62.80,0,8.165,unstable,EQUAL,308.1,1,1,MS,,,-49.257,0.002,,3.08E-01
84Ga,,31,(0-),B-,100.00,0,14.14,unstable,EQUAL,0.085,0.01,0.01,S,,,-44.283,0.401,S,8.50E-02
84Ga,,31,(0-),BN,74.00,0,8.724,unstable,EQUAL,0.085,0.01,0.01,S,,,-44.283,0.401,S,8.50E-02
84Ga,M,31,(3-,4-),B-,100.00,0,14.14,unstable,LT,0.085,,,S,,,-44.283,0.401,S,8.50E-02
84Ga,M,31,(3-,4-),BN,?,0,8.724,unstable,LT,0.085,,,S,,,-44.283,0.401,S,8.50E-02
85Ga,,31,(1/2-,3/2-,B-,,0,13.013,unstable,LT,100,,,MS,,,-40.231,0.503,S,1.00E-01
85Ga,,31,(1/2-,3/2-,BN,>35.0,0,10.121,unstable,LT,100,,,MS,,,-40.231,0.503,S,1.00E-01
86Ga,,31,,B-,,0,15.491,unstable,GT,150,,,NS,,,-34.456,0.699,S,1.50E-07
86Ga,,31,,BN,,0,10.642,unstable,GT,150,,,NS,,,-34.456,0.699,S,1.50E-07
87Ga,,31,,B-,,0,0,unstable,GT,634,,,NS,,,0,0,,6.34E-07
87Ga,,31,,BN,,0,0,unstable,GT,634,,,NS,,,0,0,,6.34E-07
87Ga,,31,,B2N,,0,0,unstable,GT,634,,,NS,,,0,0,,6.34E-07
58Ge,,32,0+,2P,?,0,2.776,unstable,EQUAL,,,,,,,-7.694,0.596,S,0.00E+00
59Ge,,32,,2P,?,0,1.222,unstable,EQUAL,,,,,,,-16.45,0.401,S,0.00E+00
60Ge,,32,0+,EP,,0,12.204,unstable,GT,110,,,NS,,,-27.609,0.196,S,1.10E-07
60Ge,,32,0+,EC,,0,12.231,unstable,GT,110,,,NS,,,-27.609,0.196,S,1.10E-07
61Ge,,32,(3/2-),EC,100.00,0,13.361,unstable,EQUAL,44,6,6,MS,,,-33.729,0.298,S,4.40E-02
61Ge,,32,(3/2-),EP,>58.00,0,13.169,unstable,EQUAL,44,6,6,MS,,,-33.729,0.298,S,4.40E-02
62Ge,,32,0+,EC,100.00,0,9.757,unstable,EQUAL,129,35,35,MS,,,-42.243,0.14,S,1.29E-01
62Ge,,32,0+,EP,,0,6.813,unstable,EQUAL,129,35,35,MS,,,-42.243,0.14,S,1.29E-01
63Ge,,32,3/2-,EC,100.00,0,9.637,unstable,EQUAL,150,9,9,MS,,,-46.921,0.037,,1.50E-01
64Ge,,32,0+,EC,100.00,0,4.484,unstable,EQUAL,63.7,2.5,2.5,S,,,-54.315,0.003,,6.37E+01
65Ge,,32,3/2-,EC,100.00,0,6.243,unstable,EQUAL,30.9,0.5,0.5,S,,,-56.48,0.002,,3.09E+01
65Ge,,32,3/2-,EP,0.01,0,2.3,unstable,EQUAL,30.9,0.5,0.5,S,,,-56.48,0.002,,3.09E+01
66Ge,,32,0+,EC,100.00,0,2.1,unstable,EQUAL,2.26,5e-16,5e-16,H,,,-61.606,0.002,,8.14E+03
67Ge,,32,1/2-,EC,100.00,0,4.222,unstable,EQUAL,18.9,0.3,0.3,M,,,-62.657,0.004,,1.13E+03
68Ge,,32,0+,EC,100.00,0,0.106,unstable,EQUAL,270.95,0.16,0.16,D,,,-66.978,0.001,,2.34E+07
69Ge,,32,5/2-,EC,100.00,0,2.227,unstable,EQUAL,39.05,0.1,0.1,H,,,-67.1,0.001,,1.41E+05
69Ge,M,32,1/2-,IT,100.00,0.0868,0.087,unstable,EQUAL,5.1,0.2,0.2,US,,,-67.0132,0.001,,5.10E-06
69Ge,M,32,9/2+,IT,100.00,0.3979,0.398,unstable,EQUAL,2.81,0.05,0.05,US,,,-66.7021,0.001,,2.81E-06
70Ge,,32,0+,,,0,0,stable,,,,,,20.57,0.27,-70.561,0,,0.00E+00
71Ge,,32,1/2-,EC,100.00,0,0.233,unstable,EQUAL,11.43,0.03,0.03,D,,,-69.906,0,,9.88E+05
71Ge,M,32,9/2+,IT,100.00,0.1984,0.198,unstable,EQUAL,20.41,0.18,0.18,MS,,,-69.7076,0,,2.04E-02
72Ge,,32,0+,,,0,0,stable,,,,,,27.45,0.32,-72.585,0,,0.00E+00
73Ge,,32,9/2+,,,0,0,stable,,,,,,7.75,0.12,-71.297,0,,0.00E+00
73Ge,M,32,1/2-,IT,100.00,0.0667,0.067,unstable,EQUAL,0.499,1.1e-15,1.1e-15,S,,,-71.2303,0,,4.99E-01
74Ge,,32,0+,,,0,0,stable,,,,,,36.5,2,-73.422,0,,0.00E+00
75Ge,,32,1/2-,B-,100.00,0,1.176,unstable,EQUAL,82.78,0.04,0.04,M,,,-71.856,0,,4.97E+03
75Ge,M,32,7/2+,IT,99.97,0.1397,0.14,unstable,EQUAL,47.7,0.5,0.5,S,,,-71.7163,0,,4.77E+01
75Ge,M,32,7/2+,B-,0.03,0.1397,1.316,unstable,EQUAL,47.7,0.5,0.5,S,,,-71.7163,0,,4.77E+01
76Ge,,32,0+,,,0,0,stable,,,,,,7.73,1.2e-14,-73.212,0,,0.00E+00
77Ge,,32,7/2+,B-,100.00,0,2.703,unstable,EQUAL,11.30,0.1,0.1,H,,,-71.213,0,,4.07E+04
77Ge,M,32,1/2-,B-,81.00,0.1597,2.863,unstable,EQUAL,52.9,0.6,0.6,S,,,-71.0533,0,,5.29E+01
77Ge,M,32,1/2-,IT,19.00,0.1597,0.16,unstable,EQUAL,52.9,0.6,0.6,S,,,-71.0533,0,,5.29E+01
78Ge,,32,0+,B-,100.00,0,0.955,unstable,EQUAL,88.0,10,10,M,,,-71.862,0.003,,5.28E+03
79Ge,,32,(1/2)-,B-,100.00,0,4.148,unstable,EQUAL,18.98,0.03,0.03,S,,,-69.526,0.037,,1.90E+01
79Ge,M,32,(7/2+),B-,96.00,0.1859,4.334,unstable,EQUAL,39.0,10,10,S,,,-69.3401,0.037,,3.90E+01
79Ge,M,32,(7/2+),IT,4.00,0.1859,0.186,unstable,EQUAL,39.0,10,10,S,,,-69.3401,0.037,,3.90E+01
80Ge,,32,0+,B-,100.00,0,2.644,unstable,EQUAL,29.5,0.4,0.4,S,,,-69.535,0.002,,2.95E+01
81Ge,,32,(9/2+),B-,100.00,0,6.23,unstable,EQUAL,7.6,0.6,0.6,S,,,-66.291,0.002,,7.60E+00
81Ge,M,32,(1/2+),B-,100.00,0.6791,6.909,unstable,EQUAL,7.6,0.6,0.6,S,,,-65.6119,0.002,,7.60E+00
82Ge,,32,0+,B-,100.00,0,4.7,unstable,EQUAL,4.56,2.6e-14,2.6e-14,S,,,-65.415,0.002,,4.56E+00
83Ge,,32,(5/2)+,B-,100.00,0,8.98,unstable,EQUAL,1.85,0.06,0.06,S,,,-60.976,0.002,,1.85E+00
84Ge,,32,0+,B-,100.00,0,7.836,unstable,EQUAL,0.954,1.4e-15,1.4e-15,S,,,-58.148,0.003,,9.54E-01
84Ge,,32,0+,BN,10.20,0,3.563,unstable,EQUAL,0.954,1.4e-15,1.4e-15,S,,,-58.148,0.003,,9.54E-01
85Ge,,32,(1/2+,5/2+,B-,100.00,0,10.256,unstable,EQUAL,0.56,5e-16,5e-16,S,,,-53.123,0.003,,5.60E-01
85Ge,,32,(1/2+,5/2+,BN,14.00,0,4.943,unstable,EQUAL,0.56,5e-16,5e-16,S,,,-53.123,0.003,,5.60E-01
86Ge,,32,0+,B-,,0,9.306,unstable,GT,150,,,NS,,,-49.76,0.401,S,1.50E-07
86Ge,,32,0+,BN,,0,5.407,unstable,GT,150,,,NS,,,-49.76,0.401,S,1.50E-07
87Ge,,32,(5/2+),B-,100.00,0,11.746,unstable,AP,0.14,,,S,,,-44.237,0.503,S,1.40E-01
87Ge,,32,(5/2+),BN,,0,6.842,unstable,AP,0.14,,,S,,,-44.237,0.503,S,1.40E-01
88Ge,,32,0+,B-,100.00,0,11.15,unstable,GE,300,,,NS,,,-40.241,0.699,S,3.00E-07
89Ge,,32,,B-,?,0,13.451,unstable,GE,300,,,NS,,,-33.85,0.801,S,3.00E-07
90Ge,,32,0+,B-,,0,0,unstable,GT,635,,,NS,,,0,0,,6.35E-07
90Ge,,32,0+,BN,,0,0,unstable,GT,635,,,NS,,,0,0,,6.35E-07
90Ge,,32,0+,B2N,,0,0,unstable,GT,635,,,NS,,,0,0,,6.35E-07
60As,,33,,P,?,0,3.311,unstable,EQUAL,,,,,,,-6.073,0.596,S,0.00E+00
61As,,33,,P,?,0,2.427,unstable,EQUAL,,,,,,,-17.819,0.596,S,0.00E+00
62As,,33,,P,?,0,1.476,unstable,EQUAL,,,,,,,-24.768,0.298,S,0.00E+00
63As,,33,3/2-,P,,0,1.132,unstable,LT,43,,,NS,,,-33.524,0.503,S,4.30E-08
64As,,33,,EC,100.00,0,14.829,unstable,EQUAL,18,43,7,MS,,,-39.352,0.302,S,1.80E-02
65As,,33,,EC,100.00,0,9.434,unstable,EQUAL,128,16,16,MS,,,-46.937,0.084,,1.28E-01
66As,,33,(0+),EC,100.00,0,10.122,unstable,EQUAL,95.77,0.23,0.23,MS,,,-52.028,0.025,,9.58E-02
67As,,33,(5/2-),EC,100.00,0,6.01,unstable,EQUAL,42.5,1.2,1.2,S,,,-56.585,0.001,,4.25E+01
68As,,33,3+,EC,100.00,0,8.081,unstable,EQUAL,151.6,0.8,0.8,S,,,-58.894,0.001,,1.52E+02
69As,,33,5/2-,EC,100.00,0,4.014,unstable,EQUAL,15.2,0.2,0.2,M,,,-63.086,0.031,,9.12E+02
70As,,33,4+,EC,100.00,0,6.22,unstable,EQUAL,52.6,0.3,0.3,M,,,-64.341,0.05,,3.16E+03
71As,,33,5/2-,EC,100.00,0,2.013,unstable,EQUAL,65.30,0.7,0.7,H,,,-67.893,0.004,,2.35E+05
72As,,33,2-,EC,100.00,0,4.356,unstable,EQUAL,26.0,1,1,H,,,-68.229,0.004,,9.36E+04
73As,,33,3/2-,EC,100.00,0,0.341,unstable,EQUAL,80.30,0.6,0.6,D,,,-70.952,0.003,,6.94E+06
74As,,33,2-,EC,66.00,0,1.353,unstable,EQUAL,17.77,0.02,0.02,D,,,-70.859,0.001,,1.54E+06
74As,,33,2-,B-,34.00,0,1.353,unstable,EQUAL,17.77,0.02,0.02,D,,,-70.859,0.001,,1.54E+06
75As,,33,3/2-,,,0,0,stable,,,,,,100,,-73.033,0,,0.00E+00
75As,M,33,9/2+,IT,100.00,0.3039,0.304,unstable,EQUAL,17.62,2.3e-14,2.3e-14,MS,,,-72.7291,0,,1.76E-02
76As,,33,2-,B-,100.00,0,2.963,unstable,EQUAL,1.0942,0.0007,0.0007,D,,,-72.29,0,,9.45E+04
77As,,33,3/2-,B-,100.00,0,0.683,unstable,EQUAL,38.83,5e-15,5e-15,H,,,-73.916,0.001,,1.40E+05
77As,M,33,9/2+,IT,100.00,0.4754,0.475,unstable,EQUAL,114.0,25,25,US,,,-73.4406,0.001,,1.14E-04
78As,,33,2-,B-,100.00,0,4.209,unstable,EQUAL,90.7,0.2,0.2,M,,,-72.817,0.009,,5.44E+03
79As,,33,3/2-,B-,100.00,0,2.281,unstable,EQUAL,9.01,0.15,0.15,M,,,-73.636,0.005,,5.41E+02
79As,M,33,(9/2)+,IT,100.00,0.7728,0.773,unstable,EQUAL,0.87,0.06,0.06,US,,,-72.8632,0.005,,8.70E-07
80As,,33,1+,B-,100.00,0,5.601,unstable,EQUAL,15.2,0.2,0.2,S,,,-72.171,0.015,,1.52E+01
81As,,33,3/2-,B-,100.00,0,3.856,unstable,EQUAL,33.3,0.8,0.8,S,,,-72.533,0.002,,3.33E+01
82As,,33,(2-),B-,100.00,0,7.27,unstable,EQUAL,19.1,0.5,0.5,S,,,-70.103,0.004,,1.91E+01
82As,M,33,(5-),B-,100.00,0.147,7.417,unstable,EQUAL,13.6,0.4,0.4,S,,,-69.956,0.004,,1.36E+01
83As,,33,(5/2-,3/2-,B-,100.00,0,5.46,unstable,EQUAL,13.4,0.3,0.3,S,,,-69.669,0.002,,1.34E+01
84As,,33,(3-),B-,100.00,0,9.87,unstable,EQUAL,4.2,0.5,0.5,S,,,-65.853,0.003,,4.20E+00
84As,,33,(3-),BN,0.18,0,1.188,unstable,EQUAL,4.2,0.5,0.5,S,,,-65.853,0.003,,4.20E+00
85As,,33,(3/2-),B-,100.00,0,9.105,unstable,EQUAL,2.021,1e-15,1e-15,S,,,-63.189,0.003,,2.02E+00
85As,,33,(3/2-),BN,59.40,0,4.558,unstable,EQUAL,2.021,1e-15,1e-15,S,,,-63.189,0.003,,2.02E+00
86As,,33,,B-,100.00,0,11.391,unstable,EQUAL,0.945,0.008,0.008,S,,,-58.962,0.003,,9.45E-01
86As,,33,,BN,26.00,0,5.207,unstable,EQUAL,0.945,0.008,0.008,S,,,-58.962,0.003,,9.45E-01
87As,,33,(3/2-),B-,100.00,0,10.599,unstable,EQUAL,0.56,8e-16,8e-16,S,,,-55.617,0.002,,5.60E-01
87As,,33,(3/2-),BN,15.40,0,6.486,unstable,EQUAL,0.56,8e-16,8e-16,S,,,-55.617,0.002,,5.60E-01
88As,,33,,B-,100.00,0,12.59,unstable,GT,300,,,NS,,,-50.888,0.401,S,3.00E-07
89As,,33,,B-,?,0,12.054,unstable,GT,300,,,NS,,,-46.938,0.503,S,3.00E-07
89As,,33,,BN,?,0,8.664,unstable,GT,300,,,NS,,,-46.938,0.503,S,3.00E-07
90As,,33,,B-,,0,14.475,unstable,GT,300,,,NS,,,-41.33,0.596,S,3.00E-07
90As,,33,,BN,,0,9.674,unstable,GT,300,,,NS,,,-41.33,0.596,S,3.00E-07
91As,,33,,B-,,0,13.479,unstable,GT,150,,,NS,,,-36.896,0.596,S,1.50E-07
92As,,33,,B-,100.00,0,15.724,unstable,EQUAL,,,,,,,-30.981,0.699,S,0.00E+00
64Se,,34,0+,EC,100.00,0,0,unstable,GT,180,,,NS,,,-26.929,0.503,S,1.80E-07
65Se,,34,(3/2-),EC,100.00,0,14.062,unstable,EQUAL,33,4,4,MS,,,-32.919,0.596,S,3.30E-02
65Se,,34,(3/2-),EP,100.00,0,14.142,unstable,EQUAL,33,4,4,MS,,,-32.919,0.596,S,3.30E-02
66Se,,34,0+,,,,0,unstable,EQUAL,,,,,,,-41.722,0.298,S,0.00E+00
67Se,,34,,EC,100.00,0,10.157,unstable,EQUAL,136,12,12,MS,,,-46.58,0.067,,1.36E-01
67Se,,34,,EP,0.50,0,7.845,unstable,EQUAL,136,12,12,MS,,,-46.58,0.067,,1.36E-01
68Se,,34,0+,EC,100.00,0,4.684,unstable,EQUAL,35.5,0.7,0.7,S,,,-54.189,0,,3.55E+01
69Se,,34,(1/2-,3/2-,EC,100.00,0,6.785,unstable,EQUAL,27.4,0.2,0.2,S,,,-56.3,0.034,,2.74E+01
69Se,,34,(1/2-,3/2-,EP,0.05,0,3.389,unstable,EQUAL,27.4,0.2,0.2,S,,,-56.3,0.034,,2.74E+01
70Se,,34,0+,EC,100.00,0,2.297,unstable,EQUAL,41.1,0.3,0.3,M,,,-61.929,0.001,,2.47E+03
71Se,,34,(5/2-),EC,100.00,0,4.778,unstable,EQUAL,4.74,5e-15,5e-15,M,,,-63.146,0.002,,2.84E+02
72Se,,34,0+,EC,100.00,0,0.335,unstable,EQUAL,8.40,0.8,0.8,D,,,-67.868,0.001,,7.26E+05
73Se,,34,9/2+,EC,100.00,0,2.739,unstable,EQUAL,7.15,0.08,0.08,H,,,-68.227,0.007,,2.57E+04
73Se,M,34,3/2-,IT,72.60,0.0257,0.026,unstable,EQUAL,39.8,1.3,1.3,M,,,-68.2013,0.007,,2.39E+03
73Se,M,34,3/2-,EC,27.40,0.0257,2.765,unstable,EQUAL,39.8,1.3,1.3,M,,,-68.2013,0.007,,2.39E+03
74Se,,34,0+,,,0,0,stable,,,,,,0.89,0.04,-72.212,0,,0.00E+00
75Se,,34,5/2+,EC,100.00,0,0.863,unstable,EQUAL,119.79,0.04,0.04,D,,,-72.169,0,,1.03E+07
76Se,,34,0+,,,0,0,stable,,,,,,9.37,2.9e-14,-75.251,0,,0.00E+00
77Se,,34,1/2-,,,0,0,stable,,,,,,7.63,0.16,-74.599,0,,0.00E+00
77Se,M,34,7/2+,IT,100.00,0.1619,0.162,unstable,EQUAL,17.4,0.8,0.8,S,,,-74.4371,0,,1.74E+01
78Se,,34,0+,,,0,0,stable,,,,,,23.77,0.28,-77.025,0,,0.00E+00
79Se,,34,7/2+,B-,100.00,0,0.151,unstable,EQUAL,2.95E+5,38000,38000,Y,,,-75.917,0,,9.31E+12
79Se,M,34,1/2-,IT,99.94,0.0958,0.096,unstable,EQUAL,3.92,0.01,0.01,M,,,-75.8212,0,,2.35E+02
79Se,M,34,1/2-,B-,0.06,0.0958,0.247,unstable,EQUAL,3.92,0.01,0.01,M,,,-75.8212,0,,2.35E+02
80Se,,34,0+,2B-,,0,0.133,stable,,,,,,49.61,0.41,-77.759,0.001,,0.00E+00
81Se,,34,1/2-,B-,100.00,0,1.585,unstable,EQUAL,18.45,0.12,0.12,M,,,-76.389,0.001,,1.11E+03
81Se,M,34,7/2+,IT,99.95,0.103,0.103,unstable,EQUAL,57.28,0.02,0.02,M,,,-76.286,0.001,,3.44E+03
81Se,M,34,7/2+,B-,0.05,0.103,1.688,unstable,EQUAL,57.28,0.02,0.02,M,,,-76.286,0.001,,3.44E+03
82Se,,34,0+,,,0,0,stable,,,,,,8.73,2.2e-14,-77.594,0.001,,0.00E+00
82Se,M,34,(8+),IT,100.00,3.5185,3.519,unstable,EQUAL,6.6,0.4,0.4,NS,,,-74.0755,0.001,,6.60E-09
83Se,,34,9/2+,B-,100.00,0,3.668,unstable,EQUAL,22.3,0.3,0.3,M,,,-75.34,0.003,,1.34E+03
83Se,M,34,1/2-,B-,100.00,0.2285,3.896,unstable,EQUAL,70.1,0.4,0.4,S,,,-75.1115,0.003,,7.01E+01
84Se,,34,0+,B-,100.00,0,1.848,unstable,EQUAL,3.26,1e-15,1e-15,M,,,-75.947,0.001,,1.96E+02
85Se,,34,(5/2+),B-,100.00,0,6.182,unstable,EQUAL,32.9,0.3,0.3,S,,,-72.413,0.002,,3.29E+01
86Se,,34,0+,B-,100.00,0,5.099,unstable,EQUAL,14.3,0.3,0.3,S,,,-70.503,0.002,,1.43E+01
87Se,,34,(5/2+),B-,100.00,0,7.275,unstable,EQUAL,5.50,1.2,1.2,S,,,-66.426,0.002,,5.50E+00
87Se,,34,(5/2+),BN,0.20,0,0.986,unstable,EQUAL,5.50,1.2,1.2,S,,,-66.426,0.002,,5.50E+00
88Se,,34,0+,B-,100.00,0,6.854,unstable,EQUAL,1.53,0.06,0.06,S,,,-63.884,0.003,,1.53E+00
88Se,,34,0+,BN,0.67,0,1.907,unstable,EQUAL,1.53,0.06,0.06,S,,,-63.884,0.003,,1.53E+00
89Se,,34,(5/2+),B-,100.00,0,9.375,unstable,EQUAL,0.41,0.04,0.04,S,,,-58.992,0.003,,4.10E-01
89Se,,34,(5/2+),BN,7.80,0,3.464,unstable,EQUAL,0.41,0.04,0.04,S,,,-58.992,0.003,,4.10E-01
90Se,,34,0+,B-,,0,8.693,unstable,GT,300,,,NS,,,-55.927,0.401,S,3.00E-07
90Se,,34,0+,BN,,0,4.573,unstable,GT,300,,,NS,,,-55.927,0.401,S,3.00E-07
91Se,,34,,B-,100.00,0,11.17,unstable,EQUAL,0.27,0.05,0.05,S,,,-50.338,0.503,S,2.70E-01
91Se,,34,,BN,21.00,0,6.211,unstable,EQUAL,0.27,0.05,0.05,S,,,-50.338,0.503,S,2.70E-01
92Se,,34,0+,B-,100.00,0,9.931,unstable,EQUAL,,,,,,,-46.724,0.596,S,0.00E+00
93Se,,34,(1/2+),B-,100.00,0,12.333,unstable,EQUAL,,,,,,,-40.716,0.801,S,0.00E+00
94Se,,34,0+,B-,100.00,0,11.001,unstable,GT,150,,,NS,,,-36.803,0.801,S,1.50E-07
95Se,,34,,B-,?,0,11.001,unstable,GT,300,,,NS,,,0,0,,3.00E-07
95Se,,34,,BN,?,0,11.001,unstable,GT,300,,,NS,,,0,0,,3.00E-07
95Se,,34,,B2N,?,0,11.001,unstable,GT,300,,,NS,,,0,0,,3.00E-07
67Br,,35,,P,?,,1.635,unstable,EQUAL,,,,,,,-32.798,0.503,S,0.00E+00
68Br,,35,,P,?,0,0.56,unstable,LT,1.2,,,US,,,-38.731,0.307,S,1.20E-06
69Br,,35,,P,?,0,0.45,unstable,LT,24,,,NS,,,-46.45,0.1,S,2.40E-08
70Br,,35,0+,EC,100.00,0,10.62,unstable,EQUAL,79.1,0.8,0.8,MS,,,-51.425,0.014,,7.91E-02
70Br,M,35,9+,EC,100.00,2.2923,12.912,unstable,EQUAL,2.2,0.2,0.2,S,,,-49.1327,0.014,,2.20E+00
