Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
13Be,,4,(1/2-),N,,0,0.1,unstable,EQUAL,2.7E-21,1.8e-36,1.8e-36,S,,,33.207,0.01,,2.70E-21
14Be,,4,0+,B-,100.00,0,16.291,unstable,EQUAL,4.35,0.17,0.17,MS,,,39.954,0.132,,4.35E-03
14Be,,4,0+,BN,81.00,0,15.321,unstable,EQUAL,4.35,0.17,0.17,MS,,,39.954,0.132,,4.35E-03
14Be,,4,0+,B2N,5.00,0,16.291,unstable,EQUAL,4.35,0.17,0.17,MS,,,39.954,0.132,,4.35E-03
15Be,,4,,N,?,,1.772,unstable,LT,200,,,NS,,,49.798,0.503,S,2.00E-07
16Be,,4,0+,2N,?,,1.581,unstable,LT,200,,,NS,,,57.678,0.503,S,2.00E-07
6B,,5,,2P,?,,3.702,unbound,,,,,,,,47.32,2.003,S,0.00E+00
7B,,5,(3/2-),A,,0,-3.223,unstable,EQUAL,1.4,0.2,0.2,MEV,,,27.87,0.07,,3.39E-22
7B,,5,(3/2-),P,,0,2.204,unstable,EQUAL,1.4,0.2,0.2,MEV,,,27.87,0.07,,3.39E-22
8B,,5,2+,EC,100.00,0,17.98,unstable,EQUAL,770,3,3,MS,,,22.921,0.001,,7.70E-01
8B,,5,2+,EA,100.00,0,0,unstable,EQUAL,770,3,3,MS,,,22.921,0.001,,7.70E-01
9B,,5,3/2-,P,100.00,0,0.185,unstable,EQUAL,0.54,0.21,0.21,KEV,,,12.416,0,,8.79E-19
9B,,5,3/2-,2A,100.00,0,0.277,unstable,EQUAL,0.54,0.21,0.21,KEV,,,12.416,0,,8.79E-19
10B,,5,3+,,,0,0,stable,,,,,,19.9,0.7,12.05,0,,0.00E+00
11B,,5,3/2-,,,0,0,stable,,,,,,80.1,0.7,8.667,0,,0.00E+00
12B,,5,1+,B-,100.00,0,13.369,unstable,EQUAL,20.20,0.2,0.2,MS,,,13.368,0.001,,2.02E-02
12B,,5,1+,B3A,1.58,0,0,unstable,EQUAL,20.20,0.2,0.2,MS,,,13.368,0.001,,2.02E-02
13B,,5,3/2-,B-,100.00,0,13.437,unstable,EQUAL,17.33,1.7e-14,1.7e-14,MS,,,16.562,0.001,,1.73E-02
14B,,5,2-,B-,100.00,0,20.644,unstable,EQUAL,12.5,0.5,0.5,MS,,,23.663,0.021,,1.25E-02
15B,,5,,B-,100.00,0,19.099,unstable,EQUAL,9.93,0.07,0.07,MS,,,28.963,0.022,,9.93E-03
15B,,5,,BN,93.60,0,17.881,unstable,EQUAL,9.93,0.07,0.07,MS,,,28.963,0.022,,9.93E-03
15B,,5,,B2N,0.40,0,9.699,unstable,EQUAL,9.93,0.07,0.07,MS,,,28.963,0.022,,9.93E-03
16B,,5,0-,N,,0,0.038,unstable,LT,190,,,PS,,,37.12,0.026,,1.90E-10
17B,,5,(3/2-),B-,100.00,0,22.732,unstable,EQUAL,5.08,0.05,0.05,MS,,,43.77,0.17,,5.08E-03
17B,,5,(3/2-),BN,63.00,0,22.005,unstable,EQUAL,5.08,0.05,0.05,MS,,,43.77,0.17,,5.08E-03
17B,,5,(3/2-),B2N,11.00,0,17.7,unstable,EQUAL,5.08,0.05,0.05,MS,,,43.77,0.17,,5.08E-03
17B,,5,(3/2-),B3N,3.50,0,22.68,unstable,EQUAL,5.08,0.05,0.05,MS,,,43.77,0.17,,5.08E-03
17B,,5,(3/2-),B4N,0.40,0,22.68,unstable,EQUAL,5.08,0.05,0.05,MS,,,43.77,0.17,,5.08E-03
18B,,5,(4-),N,?,0,0.48,unstable,LT,26,,,NS,,,51.912,0.401,S,2.60E-08
19B,,5,(3/2-),B-,100.00,0,26.943,unstable,EQUAL,2.92,0.13,0.13,MS,,,58.777,0.401,S,2.92E-03
